アカウント,作成日,ツイート,良いね数,リツイート数,言語,場所,アカウントの説明,フォロワー数,認証の有無,フォローしている数,ツイート数,アカウント作成日
cami_lk,2020-04-07 23:59:31,@eriomapio PayPayなら使えるところ多いしポイントじゃなくお金で返ってくる感覚もいいんですよね✨そうですね、発散しつつ使い過ぎないよう意識しつつうまく使っていきたいです〜,1,0,ja,静岡県,鎌倉＊ねこ＊Mr.Children＊コーヒー＊パン屋探訪＊コンコンブル＊大相撲＊ロッチ＊ゆるキャラ＊足るを知る＊2016年11月生まれの長男と夫との3人暮らし。,144,False,215,25119,2009-09-21 14:36:06
maman2nd,2020-04-07 23:59:17,みんなーPayPay忘れないでー！ https://t.co/B6qoINoAbh,5,1,ja,奈良盆地,主に藤井隆さんとその周辺/of the SLENDERIE/TとかヘッドとかWCT(ワイプでキュートな隆)とかぜんぶ隆/L4R/超空のギンガイアン/NONA REEVESトラシアン名探偵57/堂島OMM/上方落語/隙あらばサンディ(桂三度)/ひうち/その他雑多に/豆公式FC会長/時々ラクガキ/辛味は旨味,288,False,738,106404,2017-01-01 04:57:09
iam2hunya,2020-04-07 23:59:03,@RealTakum1 ほんまFeliCa普及して欲しい、PayPayとか今時なんで画面にQR出すねん、時代遅れかっ,0,0,ja,,大教大附天小133中68高62→明治大学経営学部🇫🇷語 USCPA取りたい #春から明治 フェスと海外DJ好き🙌 特にKYGO🌴 無言フォローします🙏😆,124,False,151,93,2020-03-14 05:26:06
keitaishop1,2020-04-07 23:58:41,@PayPayOfficial paypay事件セキュリティコード等無限に間違えてもロックされない仕様だったため、総当たりで有効なカードを探すことができ、クレジットマスターでカード番号割り出してpaypayに登録して不正利用したり、既に漏洩していたカードを登録して不正利用する事件が発生した#paypay,0,0,ja,,,262,False,378,28184,2011-07-24 11:47:12
samidare_desu,2020-04-07 23:58:01,家計簿アプリ「Zaim」ですが、セキュリティ面で不安があります（2段階認証非対応）また、PayPay非対応（PayPay側が対応していないと思われる）、そしてKyashがApple Pay対応したのですが、利用店舗名が自動記録されないことこれらから、今後に何かしらの改善があるまで退会する事にしました,0,0,ja,まいどの国,基本は直接お会いした方をフォロー_応援YouTuberフォロー_外資系ITメーカー勤務_街&猫写真_甘党_🚭_Noギャンブル_若い時は演奏の仕事してました🎹_元パッケージデザイン職_Mac歴20年なのに無知未熟者_とあるドラゴンボール芸人の同級生_CATプロミ卒,10,False,32,1096,2018-05-21 00:00:16
Nanorinko1,2020-04-07 23:57:18,@nakau_info 大好きな3品お得にPayPayで食べたいです☺️#なか卯,0,0,ja,,いろいろ呟きまーす♪クロワッサンを含むパンが好き。だから痩せれない。子供2人、犬1匹に囲まれてまーす。懸賞も大好きで相互フォローお願いします。,116,False,1705,11787,2018-05-15 11:33:45
mitan0807,2020-04-07 23:56:26,@HAMAZUSHi_com お得なpaypayでテイクアウトしたいです🍣,1,0,ja,,大学生🎀自炊料理 #みゆごはん 外食 #MIYU活 #旅行 国内海外温泉✈️ #みゆ旅 /コスメ💄時計⌚️ゲーム🎮映画/かわいいもの💗ファッション/ダイエット/キャンプ⛺️生き物🐶懸賞 #料理好きな人と繋がりたい #Twitter家庭料理部 #日本自炊協会 みゆ支部🔰リプ返マイペース,4804,False,5149,28140,2018-04-27 02:04:07
chirol_choco,2020-04-07 23:55:48,ほんまに潰れるくらいなら遠隔で飲ますからPayPay晒して,2,0,ja,大阪府大阪市中央区東心斎橋1-4-1 食彩館2F,インターネット老人会:懐古アニソン部所属。DJ活動はほぼお休み中。CD整理の為販売しています。🍔Marvel・海外ドラマ・Skylim・fallout・Overwatch・CoD🍟,403,False,589,52968,2010-03-08 12:05:20
sand_wich_man,2020-04-07 23:55:15,京本くんPayPay使ってたりするかな、京本くんのスマホから「ペイペイっ🎶」って鳴ったらカワイイな,5,0,ja,,春夏秋冬 I promise you したのにぃ！,164,False,54,1971,2019-04-24 15:26:09
tujijp,2020-04-07 23:54:47,"牛丼 大盛 テイクアウトで2%消費税減税&amp;15%引き・モバイルTポイントで1日1回上限80ポイント獲得(10回上限)・PayPay残高払いで20%還元。 (@ 吉野家 城北公園前店 in 旭区, 大阪府) https://t.co/eEmnrrFDYz https://t.co/Q0tgg5p4W8",1,0,ja,東京都中央区銀座8-16-10 中銀カフセルタワーヒル,デイトレード等で稼いだお金で日本全国の不動産を買い空室の部屋やネットカフェに寝泊まりして日本全国ingress旅。歩いた軌跡が(青函トンネルと関門トンネル)の階段を除くと北は北海道函館駅、南は熊本県八代駅まで繋がりました。,837,False,565,93543,2011-02-24 04:29:52
q_ii_ilp,2020-04-07 23:54:32,@xDOLLx96 Yo〜YO〜おれやってるのヨーヨーHo〜HO〜今居るのはTOHOHey〜Hey〜おれの支払いはPayPay,1,0,ja,,おなかすいた@sucide_7 TikTok : tenmadayo,1381,False,37,106,2018-03-29 13:12:05
vQptrZFhslYCmBO,2020-04-07 23:53:49,【PayPayもらえるスクラッチ】PayPay残高が無料で必ずもらえる！登録時に貰えるスクラッチを削って、最高1万円、少なくとも38円以上は当たってすぐ入金‼️#ポイ活 #最新 #PayPay #ペイペイ ＃キャンペーン #無料 #スマホ決済 ▼無料登録はURLから https://t.co/kIqiVOGXnv https://t.co/napuczeLld,0,0,ja,,このアカウントは、ポイ活&キャンペーン情報などなど。後はどうでもいいつぶやき🍋名前はレモンティー、画像はチョコミント、でも1番好きなのは抹茶です🍦,96,False,243,579,2019-10-06 07:28:31
kumautw,2020-04-07 23:53:16,@yu_bp_2 スマホにiD入れてて、だいたいそれ使ってます。お店の支払いでiDは使えないけどPaypayは使えるってところがあったので、私も始めようか迷ってます…,1,0,ja,関東裏垢界隈,ユウ非公式アカウント/175/鍵垢@kumaurt/,41,False,379,997,2017-08-31 05:15:59
sasakana069,2020-04-07 23:52:09,@HAMAZUSHi_com いつも店内で美味しく召し上がってます♥お持ち帰りもPayPayで素早く決算できて、今の時期にありがたいです😊2人家族なので1500円でお腹いっぱい食べれるな😚,0,0,ja,懸賞仲間募集中😊フォロバ🐢♥,結婚2年目突入🐰30代の主婦💑海無し県から港町へお引越し💕とにかく釣りが大好き🐟旅行も大好き☺最近ハマってることは野鳥観察です🦅🦆心を込めて当選報告します__ ✍🏻✨    #かなかな当選報告,2087,False,3630,15808,2019-06-16 23:59:06
