システムID,ジャンルID,ステータスID,感情ラベル,content
10039,Xperia,522411307182477312,neutral,結局のところ、林檎房だったわ。Xperiaは、コンパクトタブレット買うから被るし
10122,Xperia,522428611978989568,neutral,Android Lolipop 使いてぇクソdocomoのXperiaなんてこの前KitKatなったとこやぞ(笑)このへんiPhonerはすぐOSの更新きてええよなあ
10012,Xperia,522403786426298368,neutral,タブレットは注文したが，本体充電端子を使う充電器が見つからない，というかあるにはあるのだが，純正とはいえ，たかが充電器に8000円という価格設定はいかがなものか，と思う。Xperiaの別の機種のものを流用できないかな。
10017,Xperia,522404803058475008,negative,【ひとりごと】こんなに対応機種の少ないプラグエアをおまけにつけて、そんでチケット代高いとか、ちょっと馬鹿にしてる。全員がiPhoneとXperiaとGALAXYだと思うなよ。
10022,Xperia,522406474991947776,neutral,"明日朝にはnexus新型とipad関連の情報出揃ってるんかね？
ワテクシはsol24(xperia z ultra)に違約金払ってでもＭＮＰ弾撃ち込むべきか悩んでたりする
isaiでも可　　脱サムスンしたいんよ"
10306,Xperia,522528828606795777,neutral,XPERIA goでも良い
10315,Xperia,522530838685052929,neutral,「iPhoneからスマホ（Xperia A2ぽかった）に変えたら充電ケーブルの形が変なやつで、前のが使えなくなってムカつく」って話してる。いやそれは…。
10135,Xperia,522430876865425410,neutral,ところで、Nexus6はT-Mobile版Xperia Z3と同じく10月29日発売な訳だけど、Docomo版Z3って発売日決まったんだっけ？
10139,Xperia,522431871506845696,neutral,むしろ悩み初めて一週間になるXPERIA Z3 Tablet Compact
10151,Xperia,522435580638949376,positive,"Xperia並みのIPX5,8同等だったらマジで買ってしまうかもしれん。。"
10166,Xperia,522442607805206528,neutral,AUが、KitKatに対応してくれたように、Xperia Z ultraに適用してくれますように…
10168,Xperia,522443268349390848,neutral,SOL23を含めほとんどのKitkat版XperiaはART封じられてるはず
10187,Xperia,522448565621104640,neutral,今週末は、スマホの機種変をしようと思います。機種はiPhone6かiPhone6plusのどちらかで迷ってます。今のところデカイ方にしようかと！ただ、ソニーやシャープのやつも気になってはいます。ちなみに今はXPERIAを使ってます。
10208,Xperia,522474552601751552,negative,起きたらXperiaが充電されてない事件発生。
10222,Xperia,522498858157232128,neutral,"今夜先輩んちにお泊りなのに
充電器わすれたった
耐えろXperia"
10229,Xperia,522504576901996546,negative,というか、iPhoneのメモリがなくて苦しむとかいつの時代のXperiaだよって感じだ
10463,Xperia,522568668417245186,neutral,"このタイミングでXperia新機種割引クーポンメールが来ましたよ。
今使ってるXperiaちゃんに買い換えて1年経ってないのになー。ちょいと見に行ってみよーかな。
(まだローン1年残ってるはずなんだが……)"
10483,Xperia,522577499956330496,negative,最新グローバルSIMフリーiPhone6もNexus6もAscend-Mate7もBand19(docomoプラチナLTE)に対応してきてるのに最新Xperia-Z3-Compactのグローバルモデル(5803)は非対応だって。。。ふ～んっ!? 誰かが裏で意地悪してたりする?
10332,Xperia,522535709802913792,neutral,ワイモバにMNPしてNexus5を0円で貰う手も考えてたけど、Nexus5が防水じゃないので結局はXperia＋SIMカードにする事に。昨日はそれで何時間も悩んじゃった……悲しい……。
10367,Xperia,522549445250932738,neutral,"Xperia  Z3の1万円割引が来た
おれまだZ1の機種代残ってるんですが・・・"
10369,Xperia,522549643838636032,positive,小型派の期待を一身に背負うXPERIA Z3 Compact。
10373,Xperia,522551275330621440,neutral,Nexus6はモトローラなのか〜。HTL23で満足してるけど、ちょっと欲しいぞ…。Nexus9かXperia Tablet Compactに買い換えるか悩む。
10376,Xperia,522552418957922304,neutral,今まで壊したガジェットは、高校時代に雨合羽のポケットにケータイいれて水没、昨年末に熱出してふらふらしてたらiPhone水没、春にSIMスロット詰まらせてXperia破損、夏にXperiaの謎のディスプレイつかない破損。そしてNikon1のレンズ？よくわからんが動作不良。
10378,Xperia,522552585127858176,negative,うーん。Xperiaの画面保護フィルムが傷だらけで見にくい。新しいの買わないとダメか。
10390,Xperia,522554474867347457,neutral,Xperia Z Ultraの後継かなとか一瞬でも思ったけどそれにしては小さすぎましたねNexus6
10603,Xperia,522606308319436800,neutral,"夜も明けて深夜に発表になったNEXUSシリーズの話題が日本のサイトでもちらほら。

9に関してはスペック的に微妙な部分があるけれど詳しいレビュー待ち。その後でXperia Z3 Tablet Compactとどちらにするか考えよう。急ぐものでもないしなぁ。"
10604,Xperia,522606444416229376,negative,"つい最近気付いたけど、スマホで
表記されないツイートがいくつもある。
PCからだと問題無く読めるのに(謎)
最近XPERIAをアップデートしたからかな？うーん。原因がよく分からん。"
10617,Xperia,522612261433532416,neutral,銀河は今使ってるS3で懲り懲りだからXperiaかなあ
10665,Xperia,522627920167055360,negative,うんこはXperiaうんこ色言ってたからやむを得ないね
10500,Xperia,522584087572135936,neutral,なんかXPERIAが熱いって思ったら、ずっとカメラ起動状態だったっぽい…………。充電の残量20もない…つらい
10520,Xperia,522590255698829312,positive,Xperia見て今日も帰ってきます
10521,Xperia,522590455662641152,neutral,"iPhone5のサイズをそのまま薄く軽くしてiPhone5SSとかで出してくれないかなー？

っと、Xperia Z3コンパクトとiPhone6を
比べて思った。"
10524,Xperia,522591198930669568,neutral,Xperiaさんのカメラキャッシュ消してたら治った
10568,Xperia,522598173210976256,positive,安くなってる2013か，どうせなら思い切ってXperia Z3 Tablet compact にするか
10589,Xperia,522603220657401857,positive,どうやらｴｸｽﾍﾟﾘｱおでかけ転送に対応してるみたいだし今度からおでかけ転送マンなろ
10802,Xperia,522666152166576128,neutral,表がiPhoneで裏がエクスペリアとか
10976,Xperia,522712230664499203,neutral,Nexus6もXperia Z3も悩んだんだけど、Nexus５が３万円で購入できるならそれでいいか、と思ったｃ⌒っﾟдﾟ)っ
10880,Xperia,522686670982770689,negative,64GBが出るのは嬉しいけど高そう。Xperiaよりは安いかなあ。
10943,Xperia,522702817887141889,negative,"Xperia Z3もおま国じゃねーか
許すまじ"
11181,Xperia,522754860718903296,neutral,エクスペリアだし
11197,Xperia,522756929236373506,neutral,"スカさんがXperiaたんのこと呟いてて笑った
前にも言ってたよねー、たしか"
11199,Xperia,522757365905371138,neutral,Xperia Z3グローバル版買ったぜって報告してる人、大体ヲタ系
11106,Xperia,522739436866392065,neutral,オーストリア行くことになったのでXperiaが使えるか調べねば。
11120,Xperia,522741556235603970,positive,Xperia内が充実していく✌
11128,Xperia,522743081494253568,neutral,"ドコモXperiaが故障して､9/30にドコモショップへ修理を依頼したけど､10/16になっても音沙汰無し｡2週間以上もかかるものなのか？
充電部分が壊れただけで､中のAndroid OSやアプリとかは壊れていないんだけど｡"
11161,Xperia,522749783241289729,neutral,ワンダープロジェクトの新作をXperiaでやりたいです。課金無しの買い切りでお願いします。
11364,Xperia,522802375354880000,neutral,TAX FREEにしようと思ったら当然ながら未使用じゃないといけないのか。Xperia Z3を入手したとして出国まで我慢できるかな...付加価値税20%は痛い。
11377,Xperia,522806896097386496,neutral,Xperiaのカメラとの違いを
11245,Xperia,522767298084360192,positive,うちの中でwifi機として古いXPERIA使ってますけどね
11249,Xperia,522768235817472004,negative,Xperia Z1がオブジェになって一月が経ちます
11257,Xperia,522770659693170688,positive,SONYよ頑張って国内版Xperiaをロリポップにしておくれ。Z1までならいけるやろ。ランチパックも忘れんなよ。
11263,Xperia,522771541658853378,neutral,ソニー信者っていうレベルまで来ると「Xperiaくらいしかまともな選択肢がない」って発言飛ばしてくるからな
11266,Xperia,522771965816217600,positive,So-netもMVNO事業者として格安SIMを販売しているんだから、XperiaをSIMとセット販売すればいいのに。
11280,Xperia,522774680092946432,positive,新Xperiaのモックみたいどっか置いてないかな
11285,Xperia,522776429935607808,neutral,Xperia Mini ot Pro1万で売ってくれる人いないかな～
11288,Xperia,522777029242933248,positive,「Nexus 9」が発表されたけど内容を見る限り、ますます「Xperia Z3 Tablet Compact」が欲しくなった。次は新型iPad miniの発表内容待ちだな。
11306,Xperia,522781948935024641,neutral,Xperia SX(小声)
11307,Xperia,522782118917976064,neutral,これで返ってきてまたダメだったらもうあきらめてこの間ポチったxperia z3 compactに乗り換えよう。もうりんごのサポートとやりとりするの疲れた…。
11550,Xperia,522893894678110209,neutral,カメラの性能見ればXperia各機種の相関関係がわかるの面白い。
11559,Xperia,522896669784813568,positive,ごく短期間SBかドコモに乗り換えて、年内にまたauに戻ってこようかな。その時にXperia Z3にしよう
11568,Xperia,522898939515654145,negative,Xperia Z2背面ガラスわれ
11571,Xperia,522899529754882049,neutral,2014年冬モデルはくそりんご6&lt;その他ポンコツ&lt;&lt;Galaxy Note Edge&lt;&lt;Xperia Z3≦Nexus6
11415,Xperia,522818908022001664,neutral,iPad mini3が廉価版っぽいのでXperia Z3 Tablet Compactがターゲットに
11418,Xperia,522819839061004288,neutral,候補はdocomo版のiPhone5C 32G、XPERIA Z Ultra（セルラー、Wi-Fi）、ASUSのAndroidタブ、後はWin8.1のタブでレノボかASUSの新型あたりで。艦これやるならWin8.1タブしかないけどね～。やらないならなんでもね。
11442,Xperia,522836989049982976,neutral,ねもい…そしてTLが高度な話でもにゃもにゃ…とりあえず、Xperia飽きたから新しいの欲しい……
11447,Xperia,522848214412566528,positive,"重さ比較　Xperia Z2 Tablet wi-fi 426g
、cellular 439g。iPad Air 2 wi-fi 437g、cellular 444g。"
11457,Xperia,522858359959982080,neutral,"まあ、ソニーのウォークマンとXperia買います。
一応親とか向けに居間においてあるiMacとiPad mini買い換えるかなあ・・・"
11498,Xperia,522880311542050816,positive,Xperiaほしーー
11509,Xperia,522884418822623232,negative,自分の冷えた太ももがあったまっていくこの感覚がXperia
11511,Xperia,522884759865675776,neutral,ipad、imacの新型か。。。　xperiaほどじゃないけど、機種の更新早いなぁ
11526,Xperia,522888940668211202,neutral,"ipd air 2はxperia tab z2より微妙に薄いのかなう。
ipadのほうが微妙に重いのかなう。"
11532,Xperia,522890726783217664,neutral,iPad Air 2はXperia Tablet Z3より薄いのか。そろそろ折り畳めそうだな
