アカウント,作成日,ツイート,良いね数,リツイート数,言語,場所,アカウントの説明,フォロワー数,認証の有無,フォローしている数,ツイート数,アカウント作成日
yukaringuuuuu,2020-06-04 23:59:47,'タモさん@JEB9I375AfP4ehQ  の第193回のPayPay企画に当選致しました😆❤ 今までPayPayを登録してなかったのでこれを機に登録してPayPayデビューしました🤗💓 いつもいつも素敵な企画ありがとうございます☺️ 大切に使わせていただきます😍 #yukariの当選報告 https://t.co/kij56sFgXK,9,1,ja,,'＼💓👨‍👩‍👧2020.05.08 am10:26 可愛い👧を帝王切開で出産👨‍👩‍👧💓／ #yukariの当選報告 …当選報告は感謝の気持ちを忘れずに必ず致します😳💕#懸賞仲間さん募集中   #ママさん仲間募集中 …新米🔰ママなので相談に載って頂けると嬉しいです👶💕#犬好きさんと繋がりたい,1990,False,2418,6144,2020-01-01 12:03:56
kb_cameratravel,2020-06-04 23:59:00,'paypayジャンボ、5の付く日、楽天スーパーセール、Amazon夏先取りセール･･･今週末は一気に購買欲を刺激するイベントを固めすぎ！！笑,1,0,ja,Hyogo,'兵庫在住。ちょくちょくカメラを持って旅行します。 緩い乗り鉄です。 SONY α7Riv 愛知→北海道→大阪→兵庫  Instagram https://t.co/nzNFVKUKC9,49,False,181,512,2017-08-31 05:15:03
taro_88882,2020-06-04 23:58:52,'【SMS認証代行承ります】 PCmax、ヤフオク、タイミー、ワクワク 、line、Twitter、メルカリ、Google、他  (対応不可)ハッピーメール、ラクマ  値段:1件目 1000円 2件目以降500円  ・お支払いは　PayPay ・お問い合わせはDMまで！ 7 #SMS認証代行 #SMS認証 #SMS 13,0,0,ja,,'#たろたろすの実績 ⚠️自動ツイート設定にしていますのですぐに反応できない場合もありますm(_ _)m,7,False,0,51,2020-04-06 16:41:03
n9gwjsd5rjr0rtu,2020-06-04 23:58:47,'FGO 強垢、引退垢買取致します  最低条件　 ☆5サーバント　20体以上 宝具5☆5サーバント　3体以上  このいずれかを満たしている場合買取可能です。  買取希望の際にはdmに連絡の方お願いします PayPay、ラクマにて買取対応可能てす9  ＃FGO買取 ＃FGO販売 ＃FGO石垢 ＃FGO引退,0,0,ja,,'ポケモン剣盾でのポケモン販売を行なっております。FGOの買取も行なってます。支払いはpaypay、amazon、ラクマ、ゲートレ対応可能。#rielの実績 値段表→ https://t.co/7vBazjh0ku,509,False,16,2734,2020-04-19 11:47:24
lammbaba,2020-06-04 23:58:32,'ラムタラ高田馬場店にて  #PayPay #Alipay  支払いご利用いただけるようになりました！  電子マネー・クレジットカードなども 変わらずご利用いただけます！ https://t.co/CbKnDJGMC9,0,0,ja,高田馬場駅早稲田口徒歩2分,'ラムタラ高田馬場駅前店のアダルト商品の入荷情報等を呟き中です！  宜しくお願いします。  少人数体制なので返信はできませんので、お問い合わせは  電話などでお願いします！ TEL:03-5292-0248 （一般向けアカウント→https://t.co/S3dyw80goG）,1792,False,833,20622,2011-09-21 10:24:51
account_eagle,2020-06-04 23:58:17,'換金代行 D  RMT歴10年　ツイッターRMT歴４年の老舗eagleが 換金代行します 詳細は画像見て下さい  LINEPAY AMAZON PAYPAY https://t.co/KdqwFVHGLv,0,1,ja,,'各種ゲームアカ取扱 4年目 取引2万件↑ 【買取基準】#eagleアカウント買取 【強アカ一覧】#eagle強アカ在庫 【イベント】#eagleイベント実績 【支払】PAY アマギフ 銀行 ラクマ  【注文・質問】『DM』 【実績】#eagle実績 【メイン】@eagle_daikou,670,False,2,7526,2019-11-03 01:36:36
rec_auc,2020-06-04 23:57:34,'前にＰＣ買った時は、店頭在庫の中古だったのもあって、送料で焼肉食えると思って腕千切れそうになりつつこの袋強靭度半端ねえなと思いながら持ち帰ったけど、通販で買うと楽な反面まだ何も手元にないのに金だけなくなって怖い。paypayチャージした時もやばかった。えっ…この札が…電子…そして電子…,3,0,ja,脳缶,'AUC M鯖102j ニコ垢1m34 Ｎ鯖100uでぼちぼちプレイ中。TRPG(CoC)も最近ちょこちょこ。ゲーム用アカウントのフリをした生活感丸出しツイートするマンです。中の人は基本的にアルティメットちゃらんぽらんです。アイコンはまづこさんに頂きました。改めて感謝を。フォローリフォローはゲーム関係だけ…だと思います。,377,False,399,118241,2012-05-10 06:35:06
NiziNizi_7max,2020-06-04 23:57:26,'@paypaynizip ちなみに前垢の初めてのフォロワーはPayPay,1,0,ja,まやたんの旦那,'神様仏様勝村様 | 実はヨジャだったりします。 | にじすけにいいねしないとかいってるのに割としてくる可愛い人 @ma_u_xx | #チェワ様の大優勝ヘッダー🏆 @__chaewa_,142,False,106,1842,2020-05-17 08:10:23
maya1016mint,2020-06-04 23:57:07,'タモさん(@JEB9I375AfP4ehQ )からPayPay頂きました🥰 毎日PayPay企画をしてるタモさん🍀  大切に使わせていただきます💖 ありがとうございました😆  #ミント当選記録 https://t.co/wmBcBXvlfZ,1,0,ja,日本 山梨,'パパと娘とワンコで3人と1匹暮し🍀懸賞RT多め💖当選品は必ずアップします💜🐩 #ミント当選記録(18年5月～),989,False,4267,30293,2015-02-04 13:12:17
chamo__ne2525,2020-06-04 23:55:36,'@peintxxxn ぺいんとさんってPayPay使ってますか？ ぺいぺいんと！！なんちゃって☆,0,0,ja,推しの周りの壁,'※雑多版権垢です◢◤twst🦁❤/🦈×🐬◢◤◢◤sky◢◤JOJO🥓×🎣/🎣右/❄＆✂️◢◤D!◢◤UNDERTALE🤖💓◢◤🎨✍💕✰ 人外◎！自衛は個人で🙏🏻◤創作垢→@chamo__desu◢◤性癖垢→@oshiga10u101◢〖@hagi_0716_42ba〗☜🍣💍👰🏻,255,False,256,8377,2016-10-01 10:15:32
kokona_chan15,2020-06-04 23:55:28,'のこり10ぷん！ PayPay貯金しよー！ https://t.co/xBgp5udXry,1,1,ja,ぴえん侍🍵🍵🍵🍵🍵,'(っ'-' )╮ =͟͟͞͞❤推し@Matcha_147🍵に一途なんですᵕ̈ #ぺんぎんの当選報告 たまに少額企画してます✨→実績書いてくれる方は #ぺんぎんのぴえん侍 をつけてくれると嬉しいです🥺,1122,False,974,13080,2019-11-25 06:45:48
syukamaru_,2020-06-04 23:55:25,'アイコン、ヘッダー、イントロ、ロゴ依頼受付てます⁽⁽ ◟(灬 ˊωˋ 灬)◞ ⁾⁾ 値段￤500円~ 支払い方法￤PayPay、Amazonギフト券、iTunes、アマギフ dmで依頼してください💌💭 まだまだ全てお勉強中なのでそれでもいい方♡\(*ˊᗜˋ*)/♡#アイコン依頼 #ヘッダー依頼 #クランロゴ https://t.co/XuBzD3NP2G,2,1,ja,,'🎨 #しゅかまるの実績 #アイコン依頼 #ヘッダー依頼 本垢￤@_Sii_kouya_ こっちの垢は別ゲーとか関係なく好きなだけフォローする🦄💓,82,False,124,34,2020-03-19 08:55:45
fammyu,2020-06-04 23:55:22,'ドスパラのアプリから買わないと送料無料にならないのに、アプリからだとpaypayで払えないのは酷すぎませんか  これがヤマダ電機さんのやり方なのですか？,3,0,ja,ベーレテリア大平原,'日常生活の諸々を中心に愚痴を呟いてます。  無言主人公、カードワース、エロゲ、ホラー映画、ソシャゲ、フリゲ、同人ゲーも大好き。 無言主人公狂なのでゲームはそのタイプしかほぼ話題に出しません。  誰でも気軽に話しかけてやってください。お話をしてくれたフォロワーさんには必ずフォローをお返しします。,1013,False,678,4358,2010-08-15 15:09:21
hirocky0713,2020-06-04 23:55:20,'固定資産税ってPayPay、LINE Payで支払えるんだ！,1,0,ja,東京都練馬区,'夏は野球、冬はスノボ！  【調布BIGWAVE】所属：調布市1部  #野球 #スノボ #ダイビング #広島カープ  https://t.co/OkohDiB8KB,73,False,72,729,2010-07-12 15:12:24
offsideline,2020-06-04 23:55:17,'#PayPayボーナス が簡単にGETできる #QuickPoint ご好評につき『PayPayボーナス1万円相当がアタル！』キャンペーン第2弾開催🤩 応募期間は5/21～6/10、毎週応募で最大当選確率『3倍』に✨今すぐ応募しよう！💨  https://t.co/sSAYelpyZw,0,0,ja,湖こく,'滋賀県立大学環境建築デザイン学科4回 永井研究室/ 耐力壁の研究してます。たまにつぶやきます。。,53,False,51,347,2010-07-18 10:42:06
178773,2020-06-04 23:54:52,'FGO石垢販売18 FGOの石垢販売をしています。 4垢で下の料金表どおりです。 支払い方法はPayPay送金です 購入希望者はDMお願いします  #FGO #FGO販売 #FGO買取 https://t.co/8cwjNAhsbz,0,0,ja,日本,'#アライさんの実績 実績25件 CoDBモバイルやってます。 FGOなど各種ゲームの石垢も販売しています。 師匠 @Erushia_001          対応時間9時～21時,372,False,349,3327,2018-08-16 11:17:24
kikaininngenn,2020-06-04 23:54:40,'PayPayギフトカードってなんや思ったら法人しか買えんのか,0,0,ja,ひみつきち,'ごはんたべたべマシーン,649,False,1487,150233,2010-05-13 10:56:39
masapon19840328,2020-06-04 23:54:07,'36歳（借金60万） 現在#Uberで生計。paypay募金（ID:masaki0328）気軽にコメントしてってね😉#給付金 / #日常 ひとりで焼肉きた… https://t.co/8hk9m5uknQ,0,0,ja,兵庫 神戸市,'36歳（借金60万） ウーバーで生計。paypay（ID:masaki0328）好きな言葉『自由』『不労所得』『自分らしく』『一つの事に集中』,39,False,14,5806,2017-06-21 00:34:08
i_Prince_main,2020-06-04 23:54:05,'当店では現金以外にキャッシュレス決済に対応しています！ PayPayとau Payをご利用頂けます。 是非ご利用ください♪ https://t.co/23BeKyF7Hr,0,0,ja,千葉県市川市南行徳1-15-1-201,'市川、浦安、行徳、南行徳、葛西が近郊のiPhone（アイホン）、Android（アンドロイド）のスマホ修理屋さん♪地域最安値に挑戦！Androidのスマホ教室も承ります！オープン時間やスマホの情報などをツイートします！ LINE ID @437jetka 047-712-5196,17,False,21,1253,2019-11-29 16:00:56
milktea_stardom,2020-06-04 23:52:48,'@Aripay__DRS うるせぇPayPayにすんぞ,1,0,ja,東京池ラ、甲府ゲパ,'バンドリランク200(奔走！夕影をめぐる旅50位) パズドラランク1000 太鼓、チュウニズムレート15(サブ13)オンゲキレート15 ボルテ(瞬光) ダンスラ(Team Electric Shufflers)所属 性別非公開です,373,False,379,17772,2017-05-29 13:23:02
lawson_bank,2020-06-04 23:52:48,'大通公園でもPayPay使えたの草 #paypay #ペイペイ https://t.co/va43Xt1SYa,4,0,ja,東京 千代田区,'アッツアツのﾎﾟﾃｨﾄｩ(╮╯╭),147,False,155,30572,2018-04-08 01:51:26
Ram_877,2020-06-04 23:52:44,'PayPayとLINEペイ使ってる人今すぐやめましょう👁🤟🏽 使うと悪魔崇拝に力を与えてしまいます🥺,120,54,ja,呆れ中、、、,'#QAnon 覚醒拡散ボランティア ♡自然療法/エネルギーワーク/ヒーリング/スピ/歌、声劇、感情表現/R＆B、reggae好き/身体ワンネス型エンパス/lightworkerと繋がりたい/分析、戦略、目標達成が好きな効率厨です ❥悪意を感じたら即ミュートかブロックします、クレクレ野郎はきらい、争うエネルギーが無駄😌,4287,False,3030,12038,2020-04-10 21:34:33
